id,title,doc_type,file_path,file_format,file_size,author_id,author_name,author_email,department,subscription_tags,version,parent_doc_id,status,is_confidential,confidential_level,view_count,expiry_date,created_at,updated_at,published_at,withdrawn_at,review_count,review_statuses
1,测试文档-001,技术文档,/tmp/doc_0.pdf,.pdf,1024,emp_001,张三,zhangsan@company.com,技术部,"技术更新,财务公告",1.0,,published,1,,15,2027-06-03 10:28:54,2026-06-03 10:28:54,2026-06-03 10:28:54,2026-06-03 12:28:54,,1,approved
2,测试文档-002,财务文档,/tmp/doc_1.pdf,.pdf,2048,emp_002,李四,lisi@company.com,财务部,人事政策,1.1,,published,0,,30,2027-06-02 10:28:54,2026-06-02 10:28:54,2026-06-02 10:28:54,2026-06-02 12:28:54,,1,approved
3,测试文档-003,人事文档,/tmp/doc_2.pdf,.pdf,3072,emp_003,王五,wangwu@company.com,人事部,"技术更新,财务公告",1.2,,published,0,,45,2027-06-01 10:28:54,2026-06-01 10:28:54,2026-06-01 10:28:54,2026-06-01 12:28:54,,1,approved
4,测试文档-004,市场文档,/tmp/doc_3.pdf,.pdf,4096,emp_004,赵六,zhaoliu@company.com,市场部,人事政策,1.3,,pending_review,0,,60,2027-05-31 10:28:54,2026-05-31 10:28:54,2026-05-31 10:28:54,,,1,pending
5,测试文档-005,技术文档,/tmp/doc_4.pdf,.pdf,5120,emp_001,张三,zhangsan@company.com,技术部,"技术更新,财务公告",1.4,,rejected,0,,75,2027-05-30 10:28:54,2026-05-30 10:28:54,2026-05-30 10:28:54,,,1,rejected
6,测试文档-006,财务文档,/tmp/doc_5.pdf,.pdf,6144,emp_002,李四,lisi@company.com,财务部,人事政策,1.5,,expired,1,,90,2026-05-29 10:28:54,2026-05-29 10:28:54,2026-05-29 10:28:54,,,1,rejected
7,测试文档-007,人事文档,/tmp/doc_6.pdf,.pdf,7168,emp_003,王五,wangwu@company.com,人事部,"技术更新,财务公告",1.6,,published,0,,105,2027-05-28 10:28:54,2026-05-28 10:28:54,2026-05-28 10:28:54,2026-05-28 12:28:54,,1,approved
8,测试文档-008,市场文档,/tmp/doc_7.pdf,.pdf,8192,emp_004,赵六,zhaoliu@company.com,市场部,人事政策,1.7,,published,0,,120,2027-05-27 10:28:54,2026-05-27 10:28:54,2026-05-27 10:28:54,2026-05-27 12:28:54,,1,approved
9,测试文档-009,技术文档,/tmp/doc_8.pdf,.pdf,9216,emp_001,张三,zhangsan@company.com,技术部,"技术更新,财务公告",1.8,,published,0,,135,2027-05-26 10:28:54,2026-05-26 10:28:54,2026-05-26 10:28:54,2026-05-26 12:28:54,,1,approved
10,测试文档-010,财务文档,/tmp/doc_9.pdf,.pdf,10240,emp_002,李四,lisi@company.com,财务部,人事政策,1.9,,pending_review,0,,150,2027-05-25 10:28:54,2026-05-25 10:28:54,2026-05-25 10:28:54,,,1,pending
11,测试文档-011,人事文档,/tmp/doc_10.pdf,.pdf,11264,emp_003,王五,wangwu@company.com,人事部,"技术更新,财务公告",2.0,,rejected,1,,165,2027-05-24 10:28:54,2026-05-24 10:28:54,2026-05-24 10:28:54,,,1,rejected
12,测试文档-012,市场文档,/tmp/doc_11.pdf,.pdf,12288,emp_004,赵六,zhaoliu@company.com,市场部,人事政策,2.1,,expired,0,,180,2026-05-29 10:28:54,2026-05-23 10:28:54,2026-05-23 10:28:54,,,1,rejected
13,测试文档-013,技术文档,/tmp/doc_12.pdf,.pdf,13312,emp_001,张三,zhangsan@company.com,技术部,"技术更新,财务公告",2.2,,published,0,,195,2027-05-22 10:28:54,2026-05-22 10:28:54,2026-05-22 10:28:54,2026-05-22 12:28:54,,1,approved
14,测试文档-014,财务文档,/tmp/doc_13.pdf,.pdf,14336,emp_002,李四,lisi@company.com,财务部,人事政策,2.3,,published,0,,210,2027-05-21 10:28:54,2026-05-21 10:28:54,2026-05-21 10:28:54,2026-05-21 12:28:54,,1,approved
15,测试文档-015,人事文档,/tmp/doc_14.pdf,.pdf,15360,emp_003,王五,wangwu@company.com,人事部,"技术更新,财务公告",2.4,,published,0,,225,2027-05-20 10:28:54,2026-05-20 10:28:54,2026-05-20 10:28:54,2026-05-20 12:28:54,,1,approved
16,测试文档-016,市场文档,/tmp/doc_15.pdf,.pdf,16384,emp_004,赵六,zhaoliu@company.com,市场部,人事政策,2.5,,pending_review,1,,240,2027-05-19 10:28:54,2026-05-19 10:28:54,2026-05-19 10:28:54,,,1,pending
17,测试文档-017,技术文档,/tmp/doc_16.pdf,.pdf,17408,emp_001,张三,zhangsan@company.com,技术部,"技术更新,财务公告",2.6,,rejected,0,,255,2027-05-18 10:28:54,2026-05-18 10:28:54,2026-05-18 10:28:54,,,1,rejected
18,测试文档-018,财务文档,/tmp/doc_17.pdf,.pdf,18432,emp_002,李四,lisi@company.com,财务部,人事政策,2.7,,expired,0,,270,2026-05-29 10:28:54,2026-05-17 10:28:54,2026-05-17 10:28:54,,,1,rejected
19,测试文档-019,人事文档,/tmp/doc_18.pdf,.pdf,19456,emp_003,王五,wangwu@company.com,人事部,"技术更新,财务公告",2.8,,published,0,,285,2027-05-16 10:28:54,2026-05-16 10:28:54,2026-05-16 10:28:54,2026-05-16 12:28:54,,1,approved
20,测试文档-020,市场文档,/tmp/doc_19.pdf,.pdf,20480,emp_004,赵六,zhaoliu@company.com,市场部,人事政策,2.9,,published,0,,300,2027-05-15 10:28:54,2026-05-15 10:28:54,2026-05-15 10:28:54,2026-05-15 12:28:54,,1,approved
